weekdayMin,weekdayRate,ppCode,parkingSystem,ppName,vehCat,satdayMin,satdayRate,sunPHMin,sunPHRate,geometries/0/coordinates,geometries/1/coordinates,startTime,parkCapacity,endTime,remarks,geometries/2/coordinates,geometries/3/coordinates,geometries/4/coordinates,geometries/5/coordinates
30 mins,$1.20,N0016,C,NEYTHAL ROAD ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"13505.4439,34147.8156",,07.00 AM,0,07.00 PM,,,,,
30 mins,$1.20,N0020,C,NEW MARKET ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"29270.9728,29957.3796",,08.30 AM,0,05.00 PM,,,,,
30 mins,$0.60,N0020,C,NEW MARKET ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29270.9728,29957.3796",,05.00 PM,0,10.00 PM,,,,,
870 mins,$0.65,N0020,C,NEW MARKET ROAD ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29270.9728,29957.3796",,08.30 AM,15,10.00 PM,,,,,
30 mins,$0.60,N0023,C,NETHERAVON ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"44898.0996,41468.8833",,07.00 AM,16,10.00 PM,,,,,
900 mins,$0.65,N0023,C,NETHERAVON ROAD ,Motorcycle,900 mins,$0.65,900 mins,$0.65,"44898.0996,41468.8833",,07.00 AM,5,10.00 PM,,,,,
30 mins,$1.20,N0047,C,NEIL ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"28979.4855,29085.4709",,08.30 AM,7,05.00 PM,,,,,
30 mins,$0.60,N0047,C,NEIL ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"28979.4855,29085.4709",,05.00 PM,7,10.00 PM,,,,,
30 mins,$0.60,O0004,C,OLD UPPER THOMSON ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"27353.6548,39915.9542",,08.30 AM,53,05.00 PM,,,,,
30 mins,$0.60,O0005,C,OLD UPPER THOMSON ROAD OFF STREET,Car,30 mins,$0.60,0 mins,$0.00,"27408.6074,39942.9511",,08.30 AM,17,05.00 PM,,,,,
30 mins,$0.60,O0007,C,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Car,30 mins,$0.60,0 mins,$0.00,"29960.6035,33140.4176",,07.00 AM,13,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,O0007,C,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Car,30 mins,$0.60,0 mins,$0.00,"29960.6035,33140.4176",,10.30 PM,13,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,O0007,C,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Car,510 mins,$5.00,510 mins,$5.00,"29960.6035,33140.4176",,10.30 PM,13,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
930 mins,$0.65,O0007,C,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motorcycle,930 mins,$0.65,0 mins,$0.00,"29960.6035,33140.4176",,07.00 AM,10,10.30 PM,,,,,
510 mins,$0.65,O0007,C,OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motorcycle,510 mins,$0.65,510 mins,$0.65,"29960.6035,33140.4176",,10.30 PM,10,07.00 AM,,,,,
30 mins,$0.60,O0008,C,OLD AIRPORT ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"33701.6917,32176.258",,08.30 AM,16,10.00 PM,,,,,
870 mins,$0.65,O0008,C,OLD AIRPORT ROAD ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"33701.6917,32176.258",,08.30 AM,4,10.00 PM,,,,,
30 mins,$0.60,O0010,C,OUTRAM ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"28161.6974,29762.4345",,08.30 AM,27,10.00 PM,,,,,
