weekdayMin,weekdayRate,ppCode,parkingSystem,ppName,vehCat,satdayMin,satdayRate,sunPHMin,sunPHRate,geometries/0/coordinates,geometries/1/coordinates,startTime,parkCapacity,endTime,remarks,geometries/2/coordinates,geometries/3/coordinates,geometries/4/coordinates,geometries/5/coordinates
30 mins,$0.60,A0004,C,ALIWAL STREET ,Car,30 mins,$0.60,30 mins,$0.60,"31045.6165,31694.0055","31126.0755,31564.9876",08.30 AM,69,10.00 PM,,,,,
870 mins,$0.65,A0004,C,ALIWAL STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"31045.6165,31694.0055","31126.0755,31564.9876",08.30 AM,4,10.00 PM,,,,,
30 mins,$0.60,A0005,C,ALLENBY ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30873.0177,32533.6617",,08.30 AM,16,10.00 PM,,,,,
30 mins,$1.20,A0006,C,AMOY STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29548.345,29292.548",,08.30 AM,81,05.00 PM,,,,,
30 mins,$0.60,A0006,C,AMOY STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29548.345,29292.548",,05.00 PM,81,10.00 PM,,,,,
30 mins,$2.40,A0006,C,AMOY STREET ,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29548.345,29292.548",,08.30 AM,1,05.00 PM,,,,,
30 mins,$1.20,A0006,C,AMOY STREET ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29548.345,29292.548",,05.00 PM,1,10.00 PM,,,,,
870 mins,$0.65,A0006,C,AMOY STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29548.345,29292.548",,08.30 AM,10,10.00 PM,,,,,
30 mins,$1.30,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$1.30,30 mins,$0.70,"27582.895,31962.0601",,07.00 AM,268,11.00 AM,,,,,
30 mins,$1.50,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$1.50,30 mins,$0.80,"27582.895,31962.0601",,11.00 AM,268,05.00 PM,,,,,
30 mins,$0.80,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$0.80,30 mins,$0.80,"27582.895,31962.0601",,05.00 PM,268,10.30 PM,,,,,
30 mins,$0.70,A0007,B,ANGULLIA PARK OFF STREET,Car,30 mins,$0.70,30 mins,$0.70,"27582.895,31962.0601",,10.30 PM,268,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5.60.,,,,
510 mins,$5.60,A0007,B,ANGULLIA PARK OFF STREET,Car,510 mins,$5.60,510 mins,$5.60,"27582.895,31962.0601",,10.30 PM,268,07.00 AM,,,,,
930 mins,$0.65,A0007,B,ANGULLIA PARK OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"27582.895,31962.0601",,07.00 AM,83,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,A0007,B,ANGULLIA PARK OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"27582.895,31962.0601",,10.30 PM,83,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$1.20,A0008,C,ANN SIANG ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"29394.9904,29258.8791",,08.30 AM,24,05.00 PM,No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am,,,,
30 mins,$0.60,A0008,C,ANN SIANG ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29394.9904,29258.8791",,05.00 PM,24,10.00 PM,No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am,,,,
30 mins,$2.40,A0008,C,ANN SIANG ROAD ,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29394.9904,29258.8791",,08.30 AM,1,05.00 PM,,,,,
30 mins,$1.20,A0008,C,ANN SIANG ROAD ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29394.9904,29258.8791",,05.00 PM,1,10.00 PM,,,,,
30 mins,$0.60,A0010,C,ARAB STREET ,Car,30 mins,$0.60,30 mins,$0.60,"30770.0173,31622.8216",,08.30 AM,88,10.00 PM,,,,,
30 mins,$1.20,A0010,C,ARAB STREET ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"30770.0173,31622.8216",,08.30 AM,1,10.00 PM,,,,,
870 mins,$0.65,A0010,C,ARAB STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"30770.0173,31622.8216",,08.30 AM,13,10.00 PM,,,,,
30 mins,$1.20,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.20,30 mins,$0.60,"29730.2995,30701.2921",,07.00 AM,45,11.00 AM,,,,,
30 mins,$1.40,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.40,30 mins,$0.75,"29730.2995,30701.2921",,11.00 AM,45,02.00 PM,,,,,
30 mins,$1.40,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$1.40,30 mins,$0.75,"29730.2995,30701.2921",,02.00 PM,45,05.00 PM,,,,,
30 mins,$0.60,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29730.2995,30701.2921",,05.00 PM,45,10.30 PM,,,,,
30 mins,$0.60,A0011,B,ARMENIAN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29730.2995,30701.2921",,10.30 PM,45,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,A0011,B,ARMENIAN STREET OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"29730.2995,30701.2921",,10.30 PM,45,07.00 AM,,,,,
930 mins,$0.65,A0011,B,ARMENIAN STREET OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"29730.2995,30701.2921",,07.00 AM,7,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,A0011,B,ARMENIAN STREET OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"29730.2995,30701.2921",,10.30 PM,7,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,A0017,C,ARAB STREET / QUEEN STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"30638.3394,31698.2199",,08.30 AM,148,10.00 PM,,,,,
870 mins,$0.65,A0017,C,ARAB STREET / QUEEN STREET OFF STREET,Motorcycle,870 mins,$0.65,870 mins,$0.65,"30638.3394,31698.2199",,08.30 AM,19,10.00 PM,,,,,
30 mins,$1.50,A0021,B,AMOY STREET OFF STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29542.3676,29248.8218",,07.00 AM,16,05.00 PM,,,,,
30 mins,$0.60,A0021,B,AMOY STREET OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29542.3676,29248.8218",,05.00 PM,16,10.30 PM,,,,,
30 mins,$0.60,A0021,B,AMOY STREET OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29542.3676,29248.8218",,10.30 PM,16,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,A0021,B,AMOY STREET OFF STREET ,Car,510 mins,$5.00,510 mins,$5.00,"29542.3676,29248.8218",,10.30 PM,16,07.00 AM,,,,,
30 mins,$0.60,A0024,B,ADAM ROAD FOOD CENTRE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"25838.8021,34044.9773",,07.00 AM,63,10.30 PM,,,,,
30 mins,$0.60,A0024,B,ADAM ROAD FOOD CENTRE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"25838.8021,34044.9773",,10.30 PM,63,07.00 AM,,,,,
510 mins,$5.00,A0024,B,ADAM ROAD FOOD CENTRE OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"25838.8021,34044.9773",,10.30 PM,63,07.00 AM,,,,,
930 mins,$0.65,A0024,B,ADAM ROAD FOOD CENTRE OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"25838.8021,34044.9773",,07.00 AM,14,10.30 PM,,,,,
510 mins,$0.65,A0024,B,ADAM ROAD FOOD CENTRE OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"25838.8021,34044.9773",,10.30 PM,14,07.00 AM,,,,,
30 mins,$0.60,A0025,C,ADAM ROAD / DUNEARN CLOSE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"25863.4915,34079.5138",,08.30 AM,12,10.00 PM,,,,,
870 mins,$0.65,A0025,C,ADAM ROAD / DUNEARN CLOSE OFF STREET,Motorcycle,870 mins,$0.65,870 mins,$0.65,"25863.4915,34079.5138",,08.30 AM,8,10.00 PM,,,,,
30 mins,$0.60,A0028,C,ALJUNIED ROAD (MINOR) ,Car,30 mins,$0.60,0 mins,$0.00,"33156.0403,34185.9516",,08.30 AM,19,05.00 PM,,,,,
30 mins,$0.60,A0034,C,ANAMALAI AVENUE ,Car,30 mins,$0.60,0 mins,$0.00,"23702.1769,34763.1123",,08.30 AM,12,05.00 PM,,,,,
30 mins,$0.60,A0035,B,ANTHONY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"28397.8013,32511.4312",,07.00 AM,52,11.00 AM,,,,,
30 mins,$0.75,A0035,B,ANTHONY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"28397.8013,32511.4312",,11.00 AM,52,05.00 PM,,,,,
30 mins,$0.60,A0035,B,ANTHONY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"28397.8013,32511.4312",,05.00 PM,52,10.30 PM,,,,,
30 mins,$0.60,A0035,B,ANTHONY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"28397.8013,32511.4312",,10.30 PM,52,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,A0035,B,ANTHONY ROAD OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"28397.8013,32511.4312",,10.30 PM,52,07.00 AM,,,,,
30 mins,$0.60,A0036,C,ANG MO KIO STREET 62 ,Car,30 mins,$0.60,30 mins,$0.60,"29316.1028,40988.2535",,07.00 AM,15,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0036,C,ANG MO KIO STREET 62 ,Car,30 mins,$0.60,30 mins,$0.60,"29316.1028,40988.2535",,10.30 PM,15,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,A0036,C,ANG MO KIO STREET 62 ,Car,510 mins,$5.00,510 mins,$5.00,"29316.1028,40988.2535",,10.30 PM,15,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0037,C,ANG MO KIO STREET 64 ,Car,30 mins,$0.60,30 mins,$0.60,"29771.1219,41071.0365",,07.00 AM,11,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0037,C,ANG MO KIO STREET 64 ,Car,30 mins,$0.60,30 mins,$0.60,"29771.1219,41071.0365",,10.30 PM,11,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,A0037,C,ANG MO KIO STREET 64 ,Car,510 mins,$5.00,510 mins,$5.00,"29771.1219,41071.0365",,10.30 PM,11,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0043,C,AYER RAJAH CRESCENT ,Car,30 mins,$0.60,30 mins,$0.60,"23054.9879,30643.1983",,07.00 AM,21,07.00 PM,Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.,,,,
30 mins,$0.60,A0046,B,ALJUNIED ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"33394.2043,32909.1642",,07.00 AM,13,10.30 PM,,,,,
30 mins,$0.60,A0046,B,ALJUNIED ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"33394.2043,32909.1642",,10.30 PM,13,07.00 AM,,,,,
510 mins,$5.00,A0046,B,ALJUNIED ROAD OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"33394.2043,32909.1642",,10.30 PM,13,07.00 AM,,,,,
30 mins,$0.60,A0048,C,ANG MO KIO STREET 63 ,Car,30 mins,$0.60,30 mins,$0.60,"29661.3865,40850.2452",,07.00 AM,45,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0048,C,ANG MO KIO STREET 63 ,Car,30 mins,$0.60,30 mins,$0.60,"29661.3865,40850.2452",,10.30 PM,45,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,A0048,C,ANG MO KIO STREET 63 ,Car,510 mins,$5.00,510 mins,$5.00,"29661.3865,40850.2452",,10.30 PM,45,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0054,C,ANCHORVALE STREET ,Car,30 mins,$0.60,30 mins,$0.60,"33882.9035,42162.508",,07.00 AM,62,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0054,C,ANCHORVALE STREET ,Car,30 mins,$0.60,30 mins,$0.60,"33882.9035,42162.508",,10.30 PM,62,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,A0054,C,ANCHORVALE STREET ,Car,510 mins,$5.00,510 mins,$5.00,"33882.9035,42162.508",,10.30 PM,62,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0057,C,AROOZOO AVENUE ,Car,30 mins,$0.60,30 mins,$0.60,"33699.8791,37452.5108",,07.00 AM,9,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,A0057,C,AROOZOO AVENUE ,Car,30 mins,$0.60,30 mins,$0.60,"33699.8791,37452.5108",,10.30 PM,9,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,A0057,C,AROOZOO AVENUE ,Car,510 mins,$5.00,510 mins,$5.00,"33699.8791,37452.5108",,10.30 PM,9,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,B0001,C,BUKIT TIMAH ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"25331.1094,34088.1902",,08.30 AM,11,05.00 PM,,,,,
570 mins,$0.65,B0001,C,BUKIT TIMAH ROAD ,Motorcycle,570 mins,$0.65,0 mins,$0.00,"25331.1094,34088.1902",,08.30 AM,5,05.00 PM,,,,,
30 mins,$0.60,B0002,C,BAGHDAD STREET ,Car,30 mins,$0.60,30 mins,$0.60,"30966.0812,31522.0261",,08.30 AM,20,10.00 PM,,,,,
30 mins,$1.20,B0004,C,BULIM AVENUE HVP ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"14229.6324,37657.6562",,07.00 AM,439,07.00 PM,,,,,
30 mins,$1.20,B0005,C,BANDA STREET / SAGO LANE OFF STREET,Car,30 mins,$1.20,30 mins,$0.60,"29177.6102,29300.2674",,08.30 AM,27,05.00 PM,,,,,
30 mins,$0.60,B0005,C,BANDA STREET / SAGO LANE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"29177.6102,29300.2674",,05.00 PM,27,10.00 PM,,,,,
30 mins,$2.40,B0005,C,BANDA STREET / SAGO LANE OFF STREET,Heavy Vehicle,30 mins,$2.40,30 mins,$1.20,"29177.6102,29300.2674",,08.30 AM,4,05.00 PM,,,,,
30 mins,$1.20,B0005,C,BANDA STREET / SAGO LANE OFF STREET,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"29177.6102,29300.2674",,05.00 PM,4,10.00 PM,,,,,
870 mins,$0.65,B0005,C,BANDA STREET / SAGO LANE OFF STREET,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29177.6102,29300.2674",,08.30 AM,5,10.00 PM,,,,,
30 mins,$0.60,B0008,C,BEATTY ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30807.6229,32914.1039",,08.30 AM,32,10.00 PM,,,,,
30 mins,$0.60,B0011,C,BIRCH ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30293.3291,32587.3226",,08.30 AM,14,10.00 PM,,,,,
30 mins,$1.20,B0011,C,BIRCH ROAD ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"30293.3291,32587.3226",,08.30 AM,1,10.00 PM,,,,,
30 mins,$1.20,B0018,C,BUKIT PASOH ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"28826.4311,29044.9458",,08.30 AM,40,05.00 PM,,,,,
30 mins,$0.60,B0018,C,BUKIT PASOH ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"28826.4311,29044.9458",,05.00 PM,40,10.00 PM,,,,,
30 mins,$0.60,B0020,C,BUSSORAH STREET ,Car,30 mins,$0.60,30 mins,$0.60,"30974.3926,31478.2684",,08.30 AM,13,10.00 PM,,,,,
30 mins,$0.60,B0022,C,BEATTY LANE ,Car,30 mins,$0.60,30 mins,$0.60,"30994.5678,32711.1398",,08.30 AM,15,10.00 PM,,,,,
30 mins,$0.60,B0023,C,BENG WAN ROAD OFF STREET,Car,30 mins,$0.60,0 mins,$0.00,"31590.1042,33984.3865",,07.00 AM,41,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,B0023,C,BENG WAN ROAD OFF STREET,Car,30 mins,$0.60,0 mins,$0.00,"31590.1042,33984.3865",,10.30 PM,41,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,B0023,C,BENG WAN ROAD OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"31590.1042,33984.3865",,10.30 PM,41,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,B0025,C,BALI LANE ,Car,30 mins,$0.60,30 mins,$0.60,"30792.3841,31500.7499",,08.30 AM,6,10.00 PM,,,,,
30 mins,$0.60,B0028,C,BALESTIER ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"30212.0634,33765.4334",,08.30 AM,5,10.00 PM,,,,,
30 mins,$0.60,B0029,C,BHAMO ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29816.1477,34101.8351",,08.30 AM,9,10.00 PM,,,,,
30 mins,$0.60,B0031,B,BEATTY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"30925.4708,32933.2541",,07.00 AM,17,10.30 PM,,,,,
30 mins,$0.60,B0031,B,BEATTY ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"30925.4708,32933.2541",,10.30 PM,17,07.00 AM,,,,,
510 mins,$5.00,B0031,B,BEATTY ROAD OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"30925.4708,32933.2541",,10.30 PM,17,07.00 AM,,,,,
930 mins,$0.65,B0031,B,BEATTY ROAD OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"30925.4708,32933.2541",,07.00 AM,4,10.30 PM,,,,,
510 mins,$0.65,B0031,B,BEATTY ROAD OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"30925.4708,32933.2541",,10.30 PM,4,07.00 AM,,,,,
30 mins,$0.60,B0032,B,BUKIT TIMAH MARKET OFF STREET,Car,30 mins,$0.70,30 mins,$0.70,"21665.164,35695.2402",,07.00 AM,117,11.00 AM,,,,,
30 mins,$0.70,B0032,B,BUKIT TIMAH MARKET OFF STREET,Car,30 mins,$0.70,30 mins,$0.70,"21665.164,35695.2402",,11.00 AM,117,02.00 PM,,,,,
30 mins,$0.60,B0032,B,BUKIT TIMAH MARKET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"21665.164,35695.2402",,02.00 PM,117,10.30 PM,,,,,
30 mins,$0.60,B0032,B,BUKIT TIMAH MARKET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"21665.164,35695.2402",,10.30 PM,117,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,B0032,B,BUKIT TIMAH MARKET OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"21665.164,35695.2402",,10.30 PM,117,07.00 AM,,,,,
930 mins,$0.65,B0032,B,BUKIT TIMAH MARKET OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"21665.164,35695.2402",,07.00 AM,29,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,B0032,B,BUKIT TIMAH MARKET OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"21665.164,35695.2402",,10.30 PM,29,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,B0033,C,BOON TECK ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"29803.4139,34271.7315",,08.30 AM,6,10.00 PM,,,,,
30 mins,$0.60,B0035,C,BELILIOS LANE OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"30044.9978,32194.9424",,08.30 AM,33,10.00 PM,,,,,
30 mins,$0.60,B0042,C,BENOI SECTOR ,Car,30 mins,$0.60,0 mins,$0.00,"11422.2059,33540.1602",,08.30 AM,14,05.00 PM,,,,,
30 mins,$1.20,B0045,C,BLAIR ROAD ,Car,30 mins,$1.20,30 mins,$0.60,"28318.7963,28736.9604",,07.00 AM,43,05.00 PM,Reserved for Season Ticket Holders from 10.00 pm to 7.00 am daily.,,,,
30 mins,$0.60,B0045,C,BLAIR ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"28318.7963,28736.9604",,05.00 PM,43,10.00 PM,Reserved for Season Ticket Holders from 10.00 pm to 7.00 am daily.,,,,
30 mins,$1.20,B0052,C,BANDA STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29144.8796,29292.464",,08.30 AM,11,05.00 PM,,,,,
30 mins,$0.60,B0052,C,BANDA STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29144.8796,29292.464",,05.00 PM,11,10.00 PM,,,,,
30 mins,$0.60,B0062,C,BUFFALO ROAD SERVICE ROAD,Car,30 mins,$0.60,30 mins,$0.60,"29925.9043,32165.4233",,08.30 AM,18,10.00 PM,,,,,
30 mins,$0.60,B0063,B,BUKIT BATOK NATURE PARK OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"20005.2768,36613.7528",,07.00 AM,106,10.30 PM,,,,,
30 mins,$0.60,B0063,B,BUKIT BATOK NATURE PARK OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"20005.2768,36613.7528",,10.30 PM,106,07.00 AM,,,,,
510 mins,$5.00,B0063,B,BUKIT BATOK NATURE PARK OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"20005.2768,36613.7528",,10.30 PM,106,07.00 AM,,,,,
930 mins,$0.65,B0063,B,BUKIT BATOK NATURE PARK OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"20005.2768,36613.7528",,07.00 AM,6,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,B0063,B,BUKIT BATOK NATURE PARK OFF STREET,Motorcycle,510 mins,$0.65,510 mins,$0.65,"20005.2768,36613.7528",,10.30 PM,6,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,B0067,C,BURN ROAD ,Car,30 mins,$0.60,0 mins,$0.00,"33816.3298,35275.5294",,08.30 AM,15,05.00 PM,Reserved for Season Ticket Holders from 10.00 pm to 8.30 am daily.,,,,
30 mins,$1.20,B0069,C,BEDOK SOUTH ROAD ,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"39865.753,33639.4456",,07.00 AM,8,07.00 PM,Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.,,,,
30 mins,$1.20,B0073,C,BOON TAT STREET ,Car,30 mins,$1.20,30 mins,$0.60,"29675.0173,29299.2997","29607.998,29339.2595",08.30 AM,19,05.00 PM,,,,,
30 mins,$0.60,B0073,C,BOON TAT STREET ,Car,30 mins,$0.60,30 mins,$0.60,"29675.0173,29299.2997","29607.998,29339.2595",05.00 PM,19,10.00 PM,,,,,
870 mins,$0.65,B0073,C,BOON TAT STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"29675.0173,29299.2997","29607.998,29339.2595",08.30 AM,10,10.00 PM,,,,,
30 mins,$0.60,B0081,C,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"17253.836,36759.8287",,07.00 AM,30,10.30 PM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$0.60,B0081,C,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"17253.836,36759.8287",,10.30 PM,30,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
510 mins,$5.00,B0081,C,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"17253.836,36759.8287",,10.30 PM,30,07.00 AM,Parking charge between 10.30pm & 7am is capped at $5.,,,,
30 mins,$1.20,B0081,C,BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"17253.836,36759.8287",,07.00 AM,531,07.00 PM,Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.,,,,
30 mins,$1.20,B0082,C,BRADDELL ROAD HEAVY VEHICLE PARK,Heavy Vehicle,30 mins,$1.20,0 mins,$0.00,"30721.3689,36276.4205",,07.00 AM,81,07.00 PM,Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.,,,,
30 mins,$0.60,B0084,C,BEACH ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"31024.429,31452.6125",,08.30 AM,15,10.00 PM,,,,,
30 mins,$1.20,B0086,C,BUKIT BATOK EAST AVENUE 2 HV PARK,Heavy Vehicle,30 mins,$1.20,30 mins,$1.20,"19998.2967,36928.7283",,07.00 AM,212,07.00 PM,Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.,,,,
30 mins,$0.60,B0087,B,BAGHDAD STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"31011.1577,31517.0537",,07.00 AM,25,11.00 AM,,,,,
30 mins,$0.75,B0087,B,BAGHDAD STREET OFF STREET,Car,30 mins,$0.75,30 mins,$0.75,"31011.1577,31517.0537",,11.00 AM,25,05.00 PM,,,,,
30 mins,$0.60,B0087,B,BAGHDAD STREET OFF STREET,Car,30 mins,$0.75,30 mins,$0.75,"31011.1577,31517.0537",,05.00 PM,25,10.30 PM,,,,,
30 mins,$0.60,B0087,B,BAGHDAD STREET OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"31011.1577,31517.0537",,10.30 PM,25,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,B0087,B,BAGHDAD STREET OFF STREET,Car,510 mins,$5.00,510 mins,$5.00,"31011.1577,31517.0537",,10.30 PM,25,07.00 AM,,,,,
930 mins,$0.65,B0087,B,BAGHDAD STREET OFF STREET,Motorcycle,930 mins,$0.65,930 mins,$0.65,"31011.1577,31517.0537",,07.00 AM,8,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
