CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
B0031,,BEATTY ROAD OFF STREET,1.31411103114537 103.85960539693774,6,C,URA
B0032,,BUKIT TIMAH MARKET OFF STREET,1.3390889296394692 103.77639634689159,122,C,URA
B0063,,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305359211 103.76148104730633,101,C,URA
B0087,,BAGHDAD STREET OFF STREET,1.3013034071461544 103.86037519945218,0,C,URA
B0088,,BEDOK ROAD FOOD CENTRE OFF STREET,1.320882494257288 103.95521451777431,0,C,URA
B0096,,BUKIT TIMAH LINK OFF STREET,1.3413345543964925 103.7768692104473,22,C,URA
C0119,,CEYLON ROAD OFF STREET,1.3098549757016427 103.89943305397595,10,C,URA
C0133,,CARPENTER STREET OFF STREET,1.288265760877135 103.84818289117743,8,C,URA
C0148,,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.3110998019417506 103.83975443423321,89,C,URA
C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,21,C,URA
C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,0,Y,URA
D0006,,DUXTON HILL OFF STREET,1.279121361423107 103.84307668605454,0,C,URA
D0026,,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,6,Y,URA
D0026,,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,37,C,URA
D0028,,DELTA CIRCUS FRINGE CAR PARK,1.2893051001281517 103.82465436208551,194,C,URA
E0023,,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,0,C,URA
E0023,,EAST COAST PARK E3 OFF STREET,1.3086487746583644 103.9362443048082,0,Y,URA
E0024,,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,0,C,URA
E0024,,EAST COAST PARK E2 OFF STREET,1.3073484560087358 103.93582213910925,0,Y,URA
E0027,,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,198,C,URA
E0027,,EAST COAST PARK E1 OFF STREET,1.306893520703497 103.92999292150216,0,Y,URA
H0003,,HAMILTON ROAD OFF STREET,1.3116228720853855 103.86179604070755,1,C,URA
H0004,,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,1.3119377259846055 103.79266055694676,76,C,URA
H0011,,HOLLAND DRIVE OFF STREET,1.3106947374214337 103.79320773289525,31,C,URA
H0015,,HINDOO ROAD OFF STREET,1.3085901317745132 103.85406595189491,0,C,URA
H0022,,HULLET ROAD OFF STREET,1.3032004091309377 103.83904302350693,18,C,URA
H0024,,HONG LIM PARK OFF STREET,1.2864010712092964 103.84732683484889,0,C,URA
H0057,,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,1.307959413362438 103.85449803048786,0,C,URA
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,29,Y,URA
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,58,C,URA
J0055,,JALAN SEH CHUAN OFF STREET,1.3416072968226134 103.774983522264,3,C,URA
J0092,,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,40,C,URA
