CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
A66,,BLK 601/604/603 ANG MO KIO AVE 5,1.380544931 103.8356606,6,C,HDB
A67,,BLK 605/612 ANG MO KIO AVE 4/5,1.379686324 103.8378049,321,C,HDB
A68,,BLK 620/624/626 ANG MO KIO ST 61,1.381897619 103.8398542,13,C,HDB
A69,,BLK 623/625/627 ANG MO KIO ST 61,1.381641458 103.8419454,316,C,HDB
A70,,BLK 629/626 ANG MO KIO AVE 4,1.380620641 103.8401072,88,C,HDB
A71,,BLK 628/632 ANG MO KIO ST 61,1.380009094 103.8407419,68,C,HDB
A72,,BLK 633/640 ANG MO KIO ST 61,1.380760963 103.8435303,175,C,HDB
A73,,BLK 641/645 ANG MO KIO ST 61,1.378848189 103.8408247,196,C,HDB
A74,,BLK 646/649 ANG MO KIO ST 61,1.37865168 103.8438047,62,C,HDB
A75,,BLK 177/182 ANG MO KIO AVE 4,1.376086591 103.8385877,158,C,HDB
A76,,BLK 613A ANG MO KIO AVENUE 4,1.377977112 103.8388348,633,C,HDB
A77,,BLK 150/156 ANG MO KIO AVE 5,1.376251001 103.8399554,65,C,HDB
A78,,BLK 157/163 ANG MO KIO AVE 4,1.374648501 103.8383868,370,C,HDB
A81,,BLK 170/172 ANG MO KIO ST 13,1.374355553 103.8364788,10,C,HDB
A82,,BLK 173/176 ANG MO KIO AVE 4,1.375674922 103.8363987,28,C,HDB
A85,,BLK 340 ANG MO KIO ST 32,1.365107378 103.8497094,21,C,HDB
A87,,BLK 462/463 ANG MO KIO ST 44,1.366826359 103.8578842,63,C,HDB
A88,,BLK 348 ANG MO KIO AVE 3,1.366280716 103.8472665,5,C,HDB
A94,,BLK 104C ANG MO KIO STREET 11,1.371859827 103.838316,142,C,HDB
A98,,BLK 259 ANG MO KIO AVE 2,1.369164311 103.8318542,58,C,HDB
ACB,,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.301063272 103.854118,37,C,HDB
ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,216,C,HDB
ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,34,Y,HDB
ACM,,BLK 98A ALJUNIED CRESCENT,1.32100429 103.8850609,0,H,HDB
AH1,,BLK 101 JALAN DUSUN,1.328283495 103.8446199,133,C,HDB
AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,9,C,HDB
AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,5,Y,HDB
AR9,,BLK 20/22/23 DOVER CRESCENT,1.307284363 103.7834396,50,H,HDB
AV1,,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.285582555 103.8032153,129,C,HDB
B10,,BLK 404/413 BEDOK NORTH AVENUE 3,1.329028331 103.9337077,106,C,HDB
B11,,BLK 416/418 BEDOK NORTH AVENUE 2,1.328342005 103.9303962,414,C,HDB
B14,,BLK 412/413 BEDOK NORTH AVENUE 2,1.329159093 103.9314451,61,C,HDB
B16,,BLK 32/63 BEDOK SOUTH AVENUE 2,1.323501118 103.9405595,114,C,HDB
B17,,BLK 52/57 NEW UPPER CHANGI ROAD,1.324217738 103.9418572,107,C,HDB
B19,,BLK 37/38/43/60 BEDOK SOUTH ROAD,1.321924546 103.940961,475,C,HDB
B20,,BLK 67/73 BEDOK SOUTH ROAD,1.319799714 103.9434204,148,C,HDB
B21,,BLK 74/82 BEDOK NORTH ROAD,1.328177963 103.9410465,224,C,HDB
B24,,BLK 84/89 BEDOK NORTH AVENUE 4,1.33264716 103.9382946,6,C,HDB
B25,,BLK 91/97 BEDOK NORTH AVENUE 4,1.332969119 103.9404903,20,C,HDB
B26,,BLK 98/100 BEDOK NORTH AVENUE 4,1.334307987 103.9403406,71,C,HDB
B27,,BLK 101/106 BEDOK NORTH AVENUE 4,1.334117747 103.9380381,72,C,HDB
B28,,BLK 107/110 BEDOK NORTH ROAD,1.33254479 103.9355711,189,C,HDB
B30,,BLK 119/123 BEDOK NORTH STREET 2,1.329942835 103.9387534,71,C,HDB
B31,,BLK 124/129 BEDOK NORTH STREET 2,1.328501234 103.9388502,218,C,HDB
B32,,BLK 130/132 BEDOK NORTH STREET 2,1.32741067 103.9367575,178,C,HDB
B33,,BLK 131/122 BEDOK NORTH AVENUE 3,1.327240858 103.9358002,165,C,HDB
B34,,BLK 134/136 BEDOK NORTH AVENUE 3,1.328312294 103.9356734,161,C,HDB
B35,,BLK 137/140 BEDOK NORTH AVENUE 3,1.329058097 103.9351762,49,C,HDB
B40,,BLK 504/507 BEDOK NORTH STREET 3,1.332549948 103.9327701,238,C,HDB
B41,,BLK 510 BEDOK NORTH STREET 3,1.332554918 103.9314929,7,C,HDB
B42,,BLK 509/511 BEDOK NORTH STREET 3,1.332451791 103.9308212,58,C,HDB
B43,,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,1.331105187 103.9276034,67,C,HDB
B44,,BLK 528/536 BEDOK NORTH STREET 3,1.333971252 103.9275088,380,C,HDB
B45,,BLK 537/539 BEDOK NORTH STREET 3,1.331679984 103.925429,20,C,HDB
B46,,BLK 537/538 BEDOK NORTH STREET 3,1.331321224 103.924182,6,C,HDB
B47,,BLK 540/542 BEDOK NORTH STREET 3,1.330895915 103.9222478,154,C,HDB
B48,,BLK 543/547 BEDOK NORTH STREET 3,1.330095928 103.9234212,60,C,HDB
B49,,BLK 549/551 BEDOK NORTH AVENUE 1,1.332185767 103.9266682,56,C,HDB
B50,,BLK 601/605 BEDOK RESERVOIR ROAD,1.330447091 103.9130666,193,C,HDB
B51,,BLK 611/616 BEDOK RESERVOIR ROAD,1.3321465 103.9163962,161,C,HDB
B52,,BLK 617/624 BEDOK RESERVOIR ROAD,1.33390918 103.9178942,92,C,HDB
B53,,BLK 625/629 BEDOK RESERVOIR ROAD,1.334251489 103.9151772,40,C,HDB
B54,,BLK 630/632 BEDOK RESERVOIR ROAD,1.333363744 103.9152037,41,C,HDB
B57,,BLK 701/708 BEDOK RESERVOIR ROAD,1.335843395 103.9190193,150,C,HDB
B59,,BLK 716/718/721 BEDOK RESERVOIR ROAD,1.337459185 103.9259534,157,C,HDB
B60,,BLK 722/725 BEDOK RESERVOIR ROAD,1.337194222 103.9290567,102,C,HDB
B63,,BLK 739/745 BEDOK RESERVOIR ROAD,1.338153727 103.9226165,0,C,HDB
B65,,BLK 155/172 BEDOK SOUTH ROAD/AVE 3,1.32003291 103.9456593,272,C,HDB
B66,,BLK 637A BEDOK RESERVOIR ROAD,1.330548155 103.9043396,311,C,HDB
B67,,BLK 649A JALAN TENAGA,1.332015772 103.9063948,59,C,HDB
B69,,BLK 94A BEDOK NORTH AVENUE 4,1.333426184 103.9419707,206,C,HDB
B70,,BLK 201 BEDOK NORTH ST 1,1.326289845 103.9279955,24,C,HDB
B71,,BLK 29C CHAI CHEE AVENUE,1.324293889 103.9243004,124,C,HDB
B72,,BLK 660A JALAN TENAGA,1.33437706 103.9073898,149,C,HDB
B73,,BLK 651A JALAN TENAGA,1.332492268 103.9069672,23,C,HDB
B74,,BLK 671A JALAN DAMAI,1.332846853 103.9090553,166,C,HDB
B75,,BLK 613C BEDOK RESERVOIR ROAD,1.333038103 103.9175262,263,C,HDB
B79,,BLK 772A BEDOK RESERVOIR VIEW,1.336776156 103.9374066,961,C,HDB
B7A,,BLK 216/218 BEDOK NORTH ST 1,1.327131692 103.934037,60,C,HDB
B7B,,BEDOK CENTRAL,1.326521502 103.93484,8,C,HDB
B80,,BLK 739A BEDOK RESERVOIR ROAD,1.338268304 103.9233606,211,C,HDB
B81,,BLK 30A NEW UPPER CHANGI ROAD,1.323211124 103.9349426,421,C,HDB
B83,,BLK 21A CHAI CHEE ROAD,1.326469014 103.9222713,133,C,HDB
B84,,BLK 215A BEDOK CENTRAL,1.32622611 103.9342048,529,C,HDB
B85,,BLK 184 BEDOK NORTH RD,1.326080246 103.9413578,355,C,HDB
B86,,BLK 114A BEDOK NORTH ST 2,1.330720263 103.9355693,65,C,HDB
B88,,BLK 34A BED0K SOUTH AVE 2,1.322250932 103.938324,139,C,HDB
B89,,BLK 116A BEDOK NORTH ROAD,1.330959179 103.9372655,121,C,HDB
B90,,BLK 35A BEDOK SOUTH AVE 2,1.322520623 103.9396488,75,C,HDB
B91,,BLK 630 BEDOK RESERVOIR ROAD,1.332797324 103.9142523,42,C,HDB
B92,,BLK 2A BEDOK SOUTH AVE 1,1.321697394 103.9339351,426,C,HDB
B94,,BLK 513A BEDOK NORTH AVE 2,1.332260166 103.9293574,290,C,HDB
B95,,BLK 220 BEDOK CENTRAL,1.32551298 103.9350827,218,C,HDB
B96,,BLK 219 BEDOK CENTRAL,1.32496629 103.9329516,141,C,HDB
B97,,BLK 714A BEDOK RESERVOIR ROAD,1.33615579 103.9235081,272,C,HDB
B98,,BLK 748 BEDOK RESERVOIR CRESCENT,1.33607942 103.9219169,278,C,HDB
BBB,,BLK 232 BRAS BASAH BASEMENT CAR PARK,1.296580028 103.8536632,114,C,HDB
BE4,,BLK 101-116 BISHAN STREET 12,1.346495537 103.8483778,375,C,HDB
BE5,,BLK 117-134 BISHAN STREET 12,1.346177376 103.8509611,248,C,HDB
BE6,,BLK 135/138 BISHAN STREET 12,1.344748214 103.8518833,100,C,HDB
BE7,,BLK 139-144 BISHAN STREET 12,1.345004699 103.8530229,12,C,HDB
BE8,,"BLK 145-150A, 151 BISHAN STREET 11",1.344436392 103.8553148,260,C,HDB
BE9,,BLK 153-167 BISHAN STREET 13,1.347170262 103.8561828,286,C,HDB
BH1,,BLK 1 THOMSON ROAD,1.324991365 103.8424599,44,C,HDB
BH2,,BLK 2 BALESTIER ROAD,1.326045973 103.8428582,41,C,HDB
BJ1,,BLK 130-140 CASHEW ROAD,1.37395668 103.769323,135,C,HDB
BJ2,,BLK 141-151 GANGSA/PETIR ROAD,1.376135031 103.7666613,80,C,HDB
BJ3,,BLK 101/129 GANGSA ROAD/PENDING ROAD,1.377310194 103.7693773,297,C,HDB
BJ4,,BLK 219/233 PETIR ROAD,1.375459719 103.7723545,242,C,HDB
BJ8,,BLK 201/218 PETIR ROAD,1.374612729 103.7737107,405,C,HDB
BL3,,BLK 174/179 BOON LAY DRIVE,1.346874708 103.7092346,22,C,HDB
BL8,,BLK 221 BOON LAY PLACE,1.345425134 103.7133909,0,L,HDB
BL8,,BLK 221 BOON LAY PLACE,1.345425134 103.7133909,249,C,HDB
BLM,,BLK 10 BENDEMEER ROAD,1.31550644 103.8609587,344,C,HDB
BM1,,BLK 28 JALAN BUKIT MERAH,1.286273508 103.8096692,0,C,HDB
BM2,,BLK 28 HOY FATT ROAD,1.286850768 103.8099531,8,C,HDB
BM3,,BLK 49/50 HOY FATT ROAD,1.287707766 103.8115278,13,C,HDB
BM4,,BLK 35A JALAN RUMAH TINGGI,1.287667284 103.8089551,24,C,HDB
BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,2,Y,HDB
BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,1,H,HDB
BM5,,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556 103.8076195,18,C,HDB
BM6,,BLK 61 LENGKOK BAHRU,1.289533391 103.8137645,16,C,HDB
BM9,,BLK 58/59 LENGKOK BAHRU,1.289097999 103.814358,121,C,HDB
BP1,,BLK 101/109 BUKIT PURMEI ROAD,1.272794946 103.82487,221,C,HDB
BP2,,BLK 110/115 BUKIT PURMEI ROAD,1.274091691 103.8270043,158,C,HDB
BR4,,BLK 81/89 WHAMPOA DRIVE,1.32357726 103.8554214,166,C,HDB
BR5,,BLK 74/75 WHAMPOA DRIVE,1.324908971 103.8581906,44,C,HDB
BR6,,BLK 92 WHAMPOA DRIVE,1.323038825 103.8535358,69,C,HDB
BR8,,BLK 76/77 LORONG LIMAU,1.325160011 103.8545583,44,C,HDB
BR9,,BLK 69 MOULMEIN ROAD,1.31896257 103.8507431,28,C,HDB
BRM,,BLK 39 BENDEMEER ROAD,1.320747202 103.8661729,226,C,HDB
BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,121,C,HDB
BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,0,H,HDB
BTM,,BLK 2B BOON TIONG ROAD,1.286783924 103.8332897,109,Y,HDB
BWM,,BLK 2A JLN BUKIT MERAH,1.286875302 103.8066545,118,C,HDB
C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,194,Y,HDB
C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,50,H,HDB
C10,,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",1.318463207 103.7689629,353,C,HDB
C11,,"BLK 321-322,324-326 CLEMENTI AVENUE 5",1.31589499 103.7661416,203,C,HDB
C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,159,C,HDB
C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,94,Y,HDB
C12,,"BLK 301-302,305-308 CLEMENTI AVENUE 4",1.321789844 103.7661061,50,H,HDB
C16,,BLK 430-435 CLEMENTI AVE 3,1.314313927 103.7624816,128,C,HDB
C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,32,Y,HDB
C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,1,H,HDB
C17,,"BLK 442-444,442A CLEMENTI AVE 3",1.313857729 103.7638966,23,C,HDB
C18,,BLK 426/428 CLEMENTI AVE 3,1.312271663 103.7633744,55,C,HDB
C20,,BLK 449-451 CLEMENTI AVE 3,1.313347821 103.7652617,54,C,HDB
C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,179,C,HDB
C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,0,H,HDB
C24,,BLK 110/118 CLEMENTI STREET 13,1.324197621 103.7712867,44,Y,HDB
C25,,BLK 101-104 CLEMENTI STREET 14,1.322392723 103.7690555,0,Y,HDB
C25,,BLK 101-104 CLEMENTI STREET 14,1.322392723 103.7690555,62,C,HDB
C25,,BLK 101-104 CLEMENTI STREET 14,1.322392723 103.7690555,0,H,HDB
C26,,BLK 105-107 CLEMENTI STREET 12,1.322587761 103.7699291,13,Y,HDB
C26,,BLK 105-107 CLEMENTI STREET 12,1.322587761 103.7699291,26,C,HDB
C26,,BLK 105-107 CLEMENTI STREET 12,1.322587761 103.7699291,8,H,HDB
C27,,BLK 108/109 CLEMENTI STREET 11,1.322242263 103.7705128,13,C,HDB
C27,,BLK 108/109 CLEMENTI STREET 11,1.322242263 103.7705128,0,H,HDB
C27,,BLK 108/109 CLEMENTI STREET 11,1.322242263 103.7705128,0,Y,HDB
C29,,BLK 501-505 WEST COAST DRIVE,1.312614612 103.7592318,80,C,HDB
C30,,BLK 507-509 WEST COAST DRIVE,1.311458097 103.7614211,120,C,HDB
C31,,BLK 510/511 WEST COAST ROAD,1.310563194 103.7605991,16,C,HDB
C32,,BLK 514-519 WEST COAST ROAD,1.308625559 103.7590812,131,C,HDB
C33,,BLK 601-613 CLEMENTI WEST STREET 1,1.304559438 103.7668576,258,C,HDB
C34,,BLK 702/703 WEST COAST ROAD,1.307010315 103.7609363,40,C,HDB
C35,,BLK 704-714 CLEMENTI WEST STREET 2,1.305612302 103.7614392,245,C,HDB
C36,,BLK 728/729 CLEMENTI WEST STREET 2,1.305309675 103.7635574,15,C,HDB
C37,,"BLK 720-727,730-731 CLEMENTI WEST STREET 2",1.303538317 103.7639717,197,C,HDB
C38,,BLK 715-717 CLEMENTI WEST STREET 2,1.302806668 103.7625268,83,C,HDB
C3M,,BLK 416A CLEMENTI AVE 1,1.309813588 103.770131,0,H,HDB
C3M,,BLK 416A CLEMENTI AVE 1,1.309813588 103.770131,317,C,HDB
C3M,,BLK 416A CLEMENTI AVE 1,1.309813588 103.770131,243,Y,HDB
C4M,,BLK 413A COMMONWEALTH AVENUE WEST,1.311480109 103.7705025,0,H,HDB
C4M,,BLK 413A COMMONWEALTH AVENUE WEST,1.311480109 103.7705025,174,C,HDB
C4M,,BLK 413A COMMONWEALTH AVENUE WEST,1.311480109 103.7705025,10,Y,HDB
CAM,,BLK 88 TANGLIN HALT RD,1.301821057 103.7982057,187,C,HDB
CAM,,BLK 88 TANGLIN HALT RD,1.301821057 103.7982057,0,Y,HDB
CAM,,BLK 88 TANGLIN HALT RD,1.301821057 103.7982057,0,H,HDB
CC1,,BLK 1/2 CHAI CHEE STREET,1.326621271 103.9229114,87,C,HDB
CC4,,"BLK 22/24, 59/63, 803/805 CHAI CHEE ROAD",1.325761538 103.9213875,105,C,HDB
CC5,,BLK 27 CHAI CHEE ROAD,1.324822461 103.9234007,54,C,HDB
CC6,,BLK 25-27 CHAI CHEE ROAD,1.323513814 103.9235646,8,C,HDB
CC7,,BLK 29/37 CHAI CHEE AVENUE,1.325246206 103.9256873,116,C,HDB
CC8,,BLK 55/58 CHAI CHEE DRIVE,1.326895488 103.9194412,13,C,HDB
CC9,,BLK 41/42 CHAI CHEE STREET,1.327720116 103.9259951,66,C,HDB
CDM,,BLK 54 CWEALTH DR,1.301636409 103.7967914,0,H,HDB
CDM,,BLK 54 CWEALTH DR,1.301636409 103.7967914,120,C,HDB
CDM,,BLK 54 CWEALTH DR,1.301636409 103.7967914,0,Y,HDB
CK1,,BLK 101/108 TECK WHYE LANE,1.377844092 103.7533965,59,C,HDB
CK2,,BLK 109/117 TECK WHYE LANE,1.379252781 103.7513717,180,C,HDB
CK3,,BLK 118/124 TECK WHYE LANE,1.378605924 103.7500625,113,C,HDB
CK4,,"BLK 135-138,141,142 & 145 TECK WHYE LANE/AVE",1.380143703 103.7516624,0,C,HDB
CK6,,"BLK 143, 144 & 146 TECK WHYE LANE",1.380732698 103.7531056,27,C,HDB
CK7,,BLK 135A TECK WHYE LANE,1.380282259 103.7519605,197,C,HDB
CK8,,BLK 201-221 CHOA CHU KANG CENTRAL,1.382086079 103.7471057,89,C,HDB
CK9,,BLK 223-227 CHOA CHU KANG CENTRAL,1.381495974 103.7449178,0,C,HDB
CLM,,BLK 129A CLARENCE LANE,1.292483012 103.8144006,0,Y,HDB
